TAXYEAR,PARCEL,SFRCONDO,COMPLEXID,INSPECTION,CLASS,STORIES,ROOMS,QUALITY,WALLS,ROOF,HEAT,COOL,BATHFIXTUR,PATIO,PATIONUMBE,CONDITION,SQFT,YEAR,GARAGE,GARAGECAPA,POOLAREA,MAIN,CONTROL,ACTUAL,LASTACTION,VALUATIONC,APPLICATION,ENHANCEMEN,ADJUSTMENT,APPRAISER,PHONE
2019,10210025B,S,9999,Jan  1 1986 12:00AM,1,1,3,1,0,7,6,2,3,9,0,1,441,1949,3,1,0,253363,253363,253363,20070207,00,0129,0,1,Stephen H.,724-3061
2019,10218001J,S,9999,Oct 17 2014 12:00AM,1,1,4,1,3,3,1,9,4,9,0,1,816,1988,1,2,0,174374,174374,174374,20141017,00,0129,0,1,Stephen H.,724-3061
2019,103070080,S,9999,Feb  1 1982 12:00AM,1,1,4,2,0,7,8,1,4,3,1,2,883,1957,9,0,0,39054,39054,39054,19820921,00,0129,0,1,Stephen H.,724-3061
2019,103100570,S,9999,May 17 2016 12:00AM,1,1,6,1,0,7,1,2,3,3,1,1,772,1946,9,0,0,77166,77166,77166,20160518,00,0129,0,1,Stephen H.,724-3061
2019,10312018D,S,9999,Jun 18 2013 12:00AM,1,1,3,1,0,1,6,1,3,9,0,1,479,1972,9,0,0,137279,137279,137279,20130618,00,0129,0,1,Stephen H.,724-3061
2019,104031760,S,9999,Dec 18 2013 12:00AM,1,1,3,1,2,7,9,1,3,3,1,2,430,1962,9,0,0,33600,50643,50643,20131219,00,0129,0,1,June M.,724-8722
2019,10407022C,S,9999,Nov 20 2017 12:00AM,1,1,6,1,3,7,9,1,3,3,1,1,1145,1949,9,0,0,40462,40462,40462,20171121,00,0129,0,1,Stephen H.,724-3061
2019,104101260,S,9999,Jul  1 2007 12:00AM,1,1,2,1,0,7,8,1,3,9,0,2,485,1962,9,0,0,26618,33264,33264,20070822,00,0129,0,1,Stephen H.,724-3061
2019,10411015A,S,9999,Jun  9 2016 12:00AM,1,1,4,2,0,7,1,1,3,9,0,2,977,1958,9,0,0,44344,44344,37692,20160613,00,0129,0,1,Stephen H.,724-3061
2019,10411051A,S,9999,Jun  1 1984 12:00AM,1,1,7,2,0,6,4,1,3,3,1,2,924,1956,1,3,0,56373,56373,56373,19841119,00,0129,0,1,Stephen H.,724-3061
2019,10504018D,S,9999,Jun  1 2010 12:00AM,1,1,3,3,4,4,1,1,3,9,0,3,626,1954,9,0,0,70464,70464,81034,20100715,00,0129,0,1,Stephen H.,724-3061
2019,10510047G,S,9999,Aug 19 2015 12:00AM,1,1,4,2,0,3,1,1,6,9,0,2,937,1957,9,0,0,68018,68018,68018,20160526,00,0129,0,1,Stephen H.,724-3061
2019,10510056B,S,9999,Apr  1 1976 12:00AM,1,1,6,1,0,7,6,1,6,9,0,1,1668,1953,9,0,0,70048,70048,70048,19760528,00,0129,0,1,Stephen H.,724-3061
2019,105100640,S,9999,Jul  1 2010 12:00AM,1,1,4,1,0,6,1,1,5,3,1,1,1240,1948,1,2,0,80450,80450,80450,20100826,00,0129,0,1,Stephen H.,724-3061
2019,10512058b,S,9999,Jul  1 1984 12:00AM,1,1,8,1,0,7,8,2,6,3,3,1,1270,1935,3,1,0,61838,61838,61838,19841119,00,0129,0,1,Stephen H.,724-3061
2019,105120690,S,9999,Jun  1 1981 12:00AM,1,1,5,1,0,1,6,1,3,9,0,1,876,1948,1,2,0,54744,54744,54744,19811006,00,0129,0,1,Stephen H.,724-3061
2019,105120720,S,9999,Nov  1 1981 12:00AM,1,1,6,1,2,7,8,1,3,3,2,1,855,1954,9,0,0,50610,50610,50610,19811123,00,0129,0,1,Stephen H.,724-3061
2019,10513009A,S,9999,Jul  1 2000 12:00AM,1,1,7,1,0,7,8,2,3,3,1,1,2322,1960,9,0,0,84219,84219,84219,20031010,00,0129,0,1,Stephen H.,724-3061
2019,106020180,S,9999,Nov  5 2012 12:00AM,1,1,6,1,3,7,8,2,3,9,0,1,1762,1932,9,0,0,68496,68496,65071,20121113,00,0129,0,1,Stephen H.,724-3061
2019,106020290,S,9999,Sep 18 2015 12:00AM,1,1,5,1,2,7,1,0,6,9,0,1,1072,1950,3,2,0,58585,58585,55656,20150922,00,0129,0,1,Stephen H.,724-3061
2019,10602108B,S,9999,Jun  1 1965 12:00AM,1,1,3,1,3,7,8,1,4,9,0,1,625,1949,3,1,0,31569,31569,29991,19760528,00,0129,0,1,Stephen H.,724-3061
2019,10602108C,S,9999,Jun  1 1965 12:00AM,1,1,3,1,3,7,8,1,3,9,0,1,625,1949,9,0,0,31356,31356,29788,19900817,00,0129,0,1,Stephen H.,724-3061
2019,106021900,S,9999,Jun  1 1965 12:00AM,1,1,4,1,2,7,8,1,3,3,1,1,811,1953,3,1,0,42440,42440,40318,20070207,00,0129,0,1,Stephen H.,724-3061
2019,106022190,S,9999,Jun  1 1986 12:00AM,1,1,5,1,0,7,8,2,3,3,2,1,665,1954,3,1,0,38407,38407,36487,20070207,00,0129,0,1,Stephen H.,724-3061
2019,106040380,S,9999,Apr  1 1981 12:00AM,1,1,4,1,0,7,8,1,3,9,0,1,761,1934,9,0,0,37560,37560,35682,20070207,00,0129,0,1,Stephen H.,724-3061
2019,106041810,S,9999,Apr 29 2013 12:00AM,1,1,4,1,0,7,6,1,3,3,1,1,511,1949,9,0,0,28445,28445,27023,20130429,00,0129,0,1,Stephen H.,724-3061
2019,106042270,S,9999,Jun  1 1965 12:00AM,1,1,3,1,0,7,8,1,4,9,0,1,705,1955,9,0,0,32965,32965,31317,19760105,00,0129,0,1,Stephen H.,724-3061
2019,106050610,S,9999,Oct  1 1984 12:00AM,1,1,4,1,3,8,8,1,3,9,0,1,714,1943,9,0,0,35718,35718,30360,19841119,00,0129,0,1,Stephen H.,724-3061
2019,10605064A,S,9999,Oct  1 1984 12:00AM,1,1,3,1,2,7,8,2,3,3,1,1,784,1945,9,0,0,37412,37412,31800,20040823,00,0129,0,1,Stephen H.,724-3061
2019,10605067A,S,9999,Oct  1 1984 12:00AM,1,1,4,1,0,6,8,2,3,3,2,1,922,1928,9,0,0,46655,46655,39657,19841119,00,0129,0,1,Stephen H.,724-3061
2019,10605070A,S,9999,Jul  1 1983 12:00AM,1,1,3,1,3,6,8,2,3,9,0,1,460,1929,9,0,0,27975,27975,23779,19831104,00,0129,0,1,Stephen H.,724-3061
2019,106050710,S,9999,Feb  1 2007 12:00AM,1,1,4,2,3,6,8,2,3,3,2,1,665,1940,9,0,0,35540,35540,30209,20070822,00,0129,0,1,Stephen H.,724-3061
2019,106050760,S,9999,Oct  1 1984 12:00AM,1,1,4,1,2,7,8,2,3,9,0,1,722,1944,9,0,0,34923,34923,29685,19841119,00,0129,0,1,Stephen H.,724-3061
2019,10605107A,S,9999,Jan  1 2007 12:00AM,1,1,5,1,0,7,8,1,3,9,0,1,698,1934,9,0,0,45700,45700,38845,20070124,00,0129,0,1,Stephen H.,724-3061
2019,106051100,S,9999,Dec  1 1981 12:00AM,1,1,5,1,0,1,8,1,3,3,1,1,1097,1947,9,0,0,54026,54026,45922,20070213,00,0129,0,1,Stephen H.,724-3061
2019,106051200,S,9999,Dec 22 2017 12:00AM,1,1,4,1,0,7,8,2,3,9,0,1,877,1948,9,0,0,56000,48668,56000,20171227,OL,1227,0,1,Stephen H.,724-3061
2019,106051490,S,9999,Dec  1 1979 12:00AM,1,1,5,1,0,7,1,1,3,9,0,1,1392,1932,9,0,0,64699,64699,54994,19791206,00,0129,0,1,Stephen H.,724-3061
2019,106051580,S,9999,Jun  1 1965 12:00AM,1,1,4,1,3,7,8,1,3,3,2,1,676,1949,9,0,0,36474,36474,31003,19741119,00,0129,0,1,Stephen H.,724-3061
2019,106051620,S,9999,Jun  1 1965 12:00AM,1,1,4,1,3,1,6,1,3,3,1,1,804,1945,9,0,0,48823,48823,41500,19741221,00,0129,0,1,Stephen H.,724-3061
2019,10607084A,S,9999,Feb  1 2002 10:42AM,1,1,3,1,3,7,9,9,3,3,1,1,784,1944,9,0,0,33602,33602,29234,20010817,00,0129,0,1,Stephen H.,724-3061
2019,106120100,S,9999,Oct  1 1984 12:00AM,1,1,4,1,0,6,6,1,3,9,0,1,825,1959,9,0,0,37553,37553,32671,19841119,00,0129,0,1,Stephen H.,724-3061
